customer_id,cart_id,first_name,last_name,birth_date,phone_number,email_id,house_number,street,city,pincode,state,country,points_earned,membership_status
CUST001,CART001,Cherye,Doohan,1994-12-19,4411242025,cdoohan0@nasa.gov,251,"5019 Spenser Avenue","Buliran Segundo",526547,NULL,Philippines,2895,Prime
CUST002,CART002,Rollin,Jermey,1959-09-17,5711869536,rjermey1@buzzfeed.com,234,"8 Sachs Court",Sigu,503340,NULL,China,4717,Prime
CUST003,CART003,Trina,Swalough,1972-05-07,1696458486,tswalough2@opensource.org,252,"28465 Paget Way",Patique,187433,NULL,Philippines,1511,Normal
CUST004,CART004,Cris,Kingswold,1970-08-06,7423425801,ckingswold3@kickstarter.com,11,"1 Carpenter Pass",Moriya,137662,NULL,Japan,1275,Prime
CUST005,CART005,Leonerd,Burling,1976-09-05,4273657682,lburling4@nationalgeographic.com,121,"9 Lakewood Gardens Parkway",Köln,387874,Nordrhein-Westfalen,Germany,3407,Normal
CUST006,CART006,Scarlett,MacKill,1955-07-24,8343950542,smackill5@wix.com,53,"3454 Florence Trail",Vaggeryd,595050,Jönköping,Sweden,NULL,Prime
CUST007,CART007,Olenolin,Pogue,1995-02-03,2521095820,opogue6@sun.com,44,"762 Merchant Trail","Ash Shaḩānīyah",189276,NULL,Qatar,1226,Prime
CUST008,CART008,Sarena,Guiot,1993-08-26,8534798598,sguiot7@ucoz.com,51,"46 Stephen Drive",Stockholm,389265,Stockholm,Sweden,2134,Elite
CUST009,CART009,Hobart,Paxforde,1991-01-01,4878790524,hpaxforde8@163.com,214,"21184 Washington Street",Simo,367951,NULL,Finland,2321,Elite
CUST010,CART010,Odille,Florio,1950-12-20,7298544304,oflorio9@de.vu,228,"76 Hauk Way",Strömsund,178947,Jämtland,Sweden,2112,Elite
CUST011,CART011,Edeline,Stelli,1973-10-18,2868063880,estellia@prweb.com,103,"17 Dorton Place","Black River",456884,NULL,Jamaica,1746,Normal
CUST012,CART012,Barnie,Fosdyke,1976-01-21,NULL,bfosdykeb@123-reg.co.uk,149,"24 Havey Plaza",Saltsjöbaden,553841,Stockholm,Sweden,4120,Prime
